Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?
3,1.6425E+12,18/01/2022 09:46,1.6425E+12,0,18/01/2022 09:46,62188,20,questionnaire-mq5s,,18584565,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,152,No
1,1.64246E+12,17/01/2022 21:54,1.64246E+12,0,17/01/2022 21:54,62188,20,questionnaire-mq5s,,18579158,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,163,No
2,1.64246E+12,17/01/2022 21:54,1.64246E+12,0,17/01/2022 21:54,62188,20,questionnaire-mq5s,,18579158,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,163,No
3,1.64246E+12,17/01/2022 21:54,1.64246E+12,0,17/01/2022 21:54,62188,20,questionnaire-mq5s,,18579158,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,163,No
1,1.64245E+12,17/01/2022 20:32,1.64245E+12,0,17/01/2022 20:32,62188,20,questionnaire-mq5s,,18577645,BLIND,5499152,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Debrief,6,168,No
2,1.64245E+12,17/01/2022 20:32,1.64245E+12,0,17/01/2022 20:32,62188,20,questionnaire-mq5s,,18577645,BLIND,5499152,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,168,No
3,1.64245E+12,17/01/2022 20:32,1.64245E+12,0,17/01/2022 20:32,62188,20,questionnaire-mq5s,,18577645,BLIND,5499152,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Debrief,6,168,No
1,1.64245E+12,17/01/2022 20:22,1.64245E+12,0,17/01/2022 20:22,62188,20,questionnaire-mq5s,,18577441,BLIND,5499000,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x821,,Debrief,6,157,No
2,1.64245E+12,17/01/2022 20:23,1.64245E+12,0,17/01/2022 20:23,62188,20,questionnaire-mq5s,,18577441,BLIND,5499000,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1425x821,,Debrief,6,157,No
3,1.64245E+12,17/01/2022 20:23,1.64245E+12,0,17/01/2022 20:23,62188,20,questionnaire-mq5s,,18577441,BLIND,5499000,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1425x821,,Debrief,6,157,No
1,1.64134E+12,04/01/2022 23:09,1.64134E+12,0,04/01/2022 23:09,62188,20,questionnaire-mq5s,,18292762,BLIND,5418541,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x821,,Debrief,6,178,No
2,1.64134E+12,04/01/2022 23:10,1.64134E+12,0,04/01/2022 23:10,62188,20,questionnaire-mq5s,,18292762,BLIND,5418541,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x821,,Debrief,6,178,No
3,1.64134E+12,04/01/2022 23:10,1.64134E+12,0,04/01/2022 23:10,62188,20,questionnaire-mq5s,,18292762,BLIND,5418541,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x821,,Debrief,6,178,No
1,1.64114E+12,02/01/2022 16:40,1.64114E+12,0,02/01/2022 16:40,62188,20,questionnaire-mq5s,,18261178,BLIND,5410422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1536x864,,Debrief,6,178,No
2,1.64114E+12,02/01/2022 16:42,1.64114E+12,0,02/01/2022 16:42,62188,20,questionnaire-mq5s,,18261178,BLIND,5410422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x864,,Debrief,6,178,No
3,1.64114E+12,02/01/2022 16:42,1.64114E+12,0,02/01/2022 16:42,62188,20,questionnaire-mq5s,,18261178,BLIND,5410422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x864,,Debrief,6,178,No
1,1.64113E+12,02/01/2022 14:45,1.64113E+12,0,02/01/2022 14:45,62188,20,questionnaire-mq5s,,18260387,BLIND,5410148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1536x864,,Debrief,6,173,No
